pb_id,source_id,product_desc,pf_id,paralog_count,ortholog_count,gene_name,ortho_group
PBANKA_0513100,PBANKA_0513100.1,"conserved Plasmodium protein, unknown function",PF3D7_1029100,0,49,null,OG5_165268
PBANKA_0513200,PBANKA_0513200.1,"WD repeat-containing protein, putative",PF3D7_1029200,0,44,null,OG5_167053
PBANKA_0513300,PBANKA_0513300.1,"conserved protein, unknown function",PF3D7_1029300,0,43,null,OG5_167054
PBANKA_0513400,PBANKA_0513400.1,"LEM3/CDC50 family protein, putative",PF3D7_1029400,0,44,CDC50C,OG5_143201
PBANKA_0513600,PBANKA_0513600.1,"adenosine deaminase, putative",PF3D7_1029600,0,44,ADA,OG5_127245
PBANKA_0513700,PBANKA_0513700.1,"conserved Plasmodium protein, unknown function",PF3D7_1029700,0,44,null,OG5_167055
PBANKA_0513800,PBANKA_0513800.1,"heptatricopeptide repeat and RAP domain-containing protein, putative",PF3D7_1029800,0,44,HPR2,OG5_147397
PBANKA_0513900,PBANKA_0513900.1,"conserved Plasmodium protein, unknown function",PF3D7_1029900,0,44,null,OG5_165922
PBANKA_0514000,PBANKA_0514000.1,"transcription elongation factor SPT4, putative",PF3D7_1030000,0,44,SPT4,OG5_128605
PBANKA_0514100,PBANKA_0514100.1,"pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative","PF3D7_0917600,PF3D7_1030100,PF3D7_1364300",2,133,PRP22,OG5_126599
PBANKA_0514200,PBANKA_0514200.1,"claudin-like apicomplexan microneme protein, putative",PF3D7_1030200,0,44,CLAMP,OG5_143206
PBANKA_0514300,PBANKA_0514300.1,"conserved Plasmodium protein, unknown function",PF3D7_1030300,0,43,null,OG5_167056
PBANKA_0514400,PBANKA_0514400.1,"conserved protein, unknown function",PF3D7_1030400,0,44,null,OG5_147631
PBANKA_0514500,PBANKA_0514500.1,"26S proteasome regulatory subunit RPN9, putative",PF3D7_1030500,0,44,RPN9,OG5_127891
PBANKA_0514600,PBANKA_0514600.1,"tRNA N6-adenosine threonylcarbamoyltransferase, putative",PF3D7_1030600,0,44,KAE1,OG5_126710
PBANKA_0514700,PBANKA_0514700.1,"RNA methyltransferase, putative",PF3D7_1030700,0,44,null,OG5_136055
PBANKA_0514800,PBANKA_0514800.1,"calmodulin, putative",PF3D7_1030800,0,44,null,OG5_147476
PBANKA_0514900,PBANKA_0514900.1,ookinete surface protein P28,PF3D7_1030900,0,47,P28,OG5_156112
PBANKA_0515000,PBANKA_0515000.1,ookinete surface protein P25,PF3D7_1031000,0,44,P25,OG5_156053
PBANKA_0515100,PBANKA_0515100.1,"conserved Plasmodium protein, unknown function",PF3D7_1031100,0,44,null,OG5_167057
PBANKA_0515200,PBANKA_0515200.1,"MORN repeat-containing protein 1, putative",PF3D7_1031200,0,44,MORN1,OG5_128972
PBANKA_0515300,PBANKA_0515300.1,"conserved Plasmodium protein, unknown function",PF3D7_1031300,0,44,null,OG5_167058
PBANKA_0515350,PBANKA_0515350.1,"OTU-like cysteine protease, putative",PF3D7_1031400,0,45,OTU,OG5_130153
PBANKA_0515400,PBANKA_0515400.1,"conserved Plasmodium protein, unknown function",PF3D7_1031600,0,44,null,OG5_149334
PBANKA_0515500,PBANKA_0515500.1,"protein phosphatase inhibitor 3, putative",PF3D7_1031700,0,43,I3,OG5_128609
PBANKA_0515600,PBANKA_0515600.1,"conserved protein, unknown function",PF3D7_1031800,0,44,null,OG5_143225
PBANKA_0515700,PBANKA_0515700.1,"conserved Plasmodium protein, unknown function",PF3D7_1031900,0,44,null,OG5_167059
PBANKA_0515800,PBANKA_0515800.1,"ribosome maturation factor RimM, putative",PF3D7_1032000,0,44,RimM,OG5_152547
PBANKA_0515900,PBANKA_0515900.1,"mRNA-decapping enzyme subunit 1, putative",PF3D7_1032100,0,41,DCP1,OG5_146821
PBANKA_0516000,PBANKA_0516000.1,"conserved Plasmodium protein, unknown function",PF3D7_1032200,0,43,null,OG5_173803
PBANKA_0516100,PBANKA_0516100.1,"conserved protein, unknown function",PF3D7_1032300,0,43,null,OG5_160617
PBANKA_0516200,PBANKA_0516200.1,"phosphatidylinositol N-acetylglucosaminyltransferase subunit A, putative",PF3D7_1032400,0,44,PIGA,OG5_127105
PBANKA_0516300,PBANKA_0516300.1,"DER1-like protein, putative","PF3D7_1032500,PF3D7_1468500",1,88,null,OG5_127013
PBANKA_0516400,PBANKA_0516400.1,"conserved protein, unknown function",PF3D7_1032600,0,44,null,OG5_155336
PBANKA_0516500,PBANKA_0516500.1,"conserved Plasmodium protein, unknown function",PF3D7_1032700,0,41,null,OG5_160657
PBANKA_0516600,PBANKA_0516600.1,leucine-rich repeat protein,PF3D7_1032800,0,46,LRR1,OG5_127611
PBANKA_0516700,PBANKA_0516700.1,"RNA polymerase II-associated protein 1, putative",PF3D7_1032900,0,45,null,OG5_159806
PBANKA_0516800,PBANKA_0516800.1,heptatricopeptide repeat-containing protein HPR1,PF3D7_1033000,0,44,HPR1,OG5_147422
PBANKA_0516900,PBANKA_0516900.1,"S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative",PF3D7_1033100,0,44,AdoMetDC/ODC,OG5_126750
PBANKA_0517100,PBANKA_0517100.1,"conserved protein, unknown function",PF3D7_1033300,0,44,null,OG5_145119
PBANKA_0517200,PBANKA_0517200.1,"haloacid dehalogenase-like hydrolase, putative",PF3D7_1033400,0,64,HAD1,OG5_127435
PBANKA_0517300,PBANKA_0517300.1,"WD repeat-containing protein 70, putative",PF3D7_1033500,0,44,WDR70,OG5_129363
PBANKA_0517400,PBANKA_0517400.1,"pre-mRNA-splicing factor CEF1, putative",PF3D7_1033600,0,44,CEF1,OG5_128000
PBANKA_0517500,PBANKA_0517500.1,"bromodomain protein 1, putative",PF3D7_1033700,0,45,BDP1,OG5_135777
PBANKA_0517600,PBANKA_0517600.1,plasmepsin VII,PF3D7_1033800,0,44,null,OG5_145118
PBANKA_0517700,PBANKA_0517700.1,"ubiquitin-conjugating enzyme E2, putative",PF3D7_1033900,0,44,null,OG5_128230
PBANKA_0517800,PBANKA_0517800.1,"Sec1 family protein, putative",PF3D7_1034000,0,44,null,OG5_127856
PBANKA_0517900,PBANKA_0517900.1,"conserved protein, unknown function",PF3D7_1034100,0,44,null,OG5_154758
PBANKA_0518000,PBANKA_0518000.1,"ribosomal protein L27, putative",PF3D7_1034200,0,44,RPL27,OG5_127361
PBANKA_0518100,PBANKA_0518100.1,"thioredoxin-like associated protein 2, putative",PF3D7_1034300,0,44,TLAP2,OG5_154294
PBANKA_0518200,PBANKA_0518200.1,"flavoprotein subunit of succinate dehydrogenase, putative",PF3D7_1034400,0,44,SDHA,OG5_126927
PBANKA_0518300,PBANKA_0518300.1,"conserved Plasmodium protein, unknown function",PF3D7_1034500,0,47,null,OG5_164179
PBANKA_0518400,PBANKA_0518400.1,"translation initiation factor IF-3, putative",PF3D7_1034600,0,45,IF3b,OG5_158976
PBANKA_0518500,PBANKA_0518500.1,"ADP-ribosylation factor, putative",PF3D7_1034700,0,44,null,OG5_128805
PBANKA_0518600,PBANKA_0518600.1,"conserved protein, unknown function",PF3D7_1034800,0,43,null,OG5_161580
PBANKA_0518700,PBANKA_0518700.1,"methionine--tRNA ligase, putative",PF3D7_1034900,0,44,null,OG5_127468
PBANKA_0518800,PBANKA_0518800.1,"U2 snRNA/tRNA pseudouridine synthase, putative",PF3D7_1035000,0,46,null,OG5_127405
PBANKA_0519600,PBANKA_0519600.1,"conserved protein, unknown function",PF3D7_1036600,0,48,null,OG5_147395
PBANKA_0519700,PBANKA_0519700.1,"phosducin-like protein 2, putative","PF3D7_1006600,PF3D7_1036700",1,87,PhLP2,OG5_127313
PBANKA_0519800,PBANKA_0519800.1,"acetyl-CoA transporter, putative",PF3D7_1036800,0,44,ACT,OG5_128203
PBANKA_0519900,PBANKA_0519900.1,"conserved Plasmodium protein, unknown function",PF3D7_1036900,0,45,null,OG5_152972
PBANKA_0520000,PBANKA_0520000.1,"pyruvate kinase 2, putative",PF3D7_1037100,0,44,null,OG5_144357
PBANKA_0520100,PBANKA_0520100.1,"conserved Plasmodium protein, unknown function",PF3D7_1037200,0,45,null,OG5_167060
PBANKA_0520200,PBANKA_0520200.1,"ADP/ATP transporter on adenylate translocase, putative",PF3D7_1037300,0,45,null,OG5_126841
PBANKA_0520300,PBANKA_0520300.1,"conserved Plasmodium protein, unknown function",PF3D7_1037400,0,44,null,OG5_165886
PBANKA_0520400,PBANKA_0520400.1,"dynamin-like protein, putative","PF3D7_1037500,PF3D7_1145400",1,90,DYN2,OG5_126660
PBANKA_0520500,PBANKA_0520500.1,"TFIIH basal transcription factor complex helicase XPB subunit, putative",PF3D7_1037600,0,44,XPB,OG5_127208
PBANKA_0520600,PBANKA_0520600.1,"enhancer of rudimentary homolog, putative",PF3D7_1037700,0,44,ERH,OG5_130977
PBANKA_0520700,PBANKA_0520700.1,"conserved Plasmodium protein, unknown function",PF3D7_1037800,0,45,null,OG5_130347
PBANKA_0520800,PBANKA_0520800.1,"conserved Plasmodium protein, unknown function",PF3D7_1037900,0,42,null,OG5_167061
PBANKA_0520900,PBANKA_0520900.1,"antigen UB05, putative",PF3D7_1038000,0,47,null,OG5_141758
PBANKA_0521000,PBANKA_0521000.1,"GDP dissociation inhibitor, putative",PF3D7_1038100,0,44,null,OG5_153600
PBANKA_0521100,PBANKA_0521100.1,"conserved Plasmodium protein, unknown function",PF3D7_1038200,0,32,null,OG5_166885
PBANKA_0521200,PBANKA_0521200.1,"conserved Plasmodium protein, unknown function",PF3D7_1038300,0,39,null,OG5_160266
PBANKA_0521300,PBANKA_0521300.1,"zinc finger protein, putative",PF3D7_0420000,0,46,null,OG5_146909
PBANKA_0521400,PBANKA_0521400.1,"serine/threonine protein kinase RIO2, putative",PF3D7_0420100,0,44,RIO2,OG5_127684
PBANKA_0521600,PBANKA_0521600.1,"holo-[acyl-carrier-protein] synthase, putative",PF3D7_0420200,0,44,ACPS,OG5_130884
PBANKA_0521700,PBANKA_0521700.1,"AP2 domain transcription factor, putative",PF3D7_0420300,0,46,ApiAP2,OG5_156239
PBANKA_0521800,PBANKA_0521800.1,"ribosome-recycling factor, putative",PF3D7_0420400,0,46,RRF2,OG5_155265
PBANKA_0521900,PBANKA_0521900.1,"conserved Plasmodium protein, unknown function",PF3D7_0420500,0,46,null,OG5_164270
PBANKA_0522000,PBANKA_0522000.1,"conserved Plasmodium protein, unknown function",PF3D7_0420600,0,46,null,OG5_172402
PBANKA_0522100,PBANKA_0522100.1,"conserved Plasmodium protein, unknown function",PF3D7_0421700,0,49,null,OG5_167062
PBANKA_0522200,PBANKA_0522200.1,"conserved Plasmodium protein, unknown function",PF3D7_0421800,0,42,null,OG5_167063
PBANKA_0522300,PBANKA_0522300.1,"conserved Plasmodium protein, unknown function",PF3D7_0421900,0,43,null,OG5_184628
PBANKA_0522400,PBANKA_0522400.1,"steroid dehydrogenase, putative",PF3D7_0422000,0,45,null,OG5_126812
PBANKA_0522500,PBANKA_0522500.1,"transmembrane emp24 domain-containing protein, putative",PF3D7_0422100,0,45,null,OG5_137211
PBANKA_0522600,PBANKA_0522600.1,"erythrocyte membrane-associated antigen, putative",PF3D7_0422200,0,39,null,OG5_153137
PBANKA_0522700,PBANKA_0522700.1,alpha tubulin 2,"PF3D7_0422300,PF3D7_0903700",1,87,null,OG5_126605
PBANKA_0522800,PBANKA_0522800.1,"40S ribosomal protein S19, putative",PF3D7_0422400,0,43,RPS19,OG5_127080
PBANKA_0522900,PBANKA_0522900.1,"pre-mRNA-splicing helicase BRR2, putative","PF3D7_0422500,PF3D7_1439100",1,89,BRR2,OG5_126701
PBANKA_0523000,PBANKA_0523000.1,"conserved Plasmodium protein, unknown function",PF3D7_0422600,0,43,null,OG5_173805
PBANKA_0523100,PBANKA_0523100.1,"eukaryotic initiation factor 4A-III, putative",PF3D7_0422700,0,44,EIF4A3,OG5_127927
PBANKA_0523200,PBANKA_0523200.1,"serpentine receptor, putative",PF3D7_0422800,0,43,SR12,OG5_157719
PBANKA_0523300,PBANKA_0523300.1,"methyltransferase, putative",PF3D7_0422900,0,44,null,OG5_167064
PBANKA_0523400,PBANKA_0523400.1,"conserved Plasmodium protein, unknown function",PF3D7_0423000,0,40,null,OG5_167065
PBANKA_0523500,PBANKA_0523500.1,"AP-4 complex subunit sigma, putative",PF3D7_0423100,0,43,null,OG5_130491
PBANKA_0523600,PBANKA_0523600.1,"BSD-domain protein, putative",PF3D7_0423200,0,43,null,OG5_146425
PBANKA_0523700,PBANKA_0523700.1,"conserved Plasmodium protein, unknown function",PF3D7_0423300,0,25,null,OG5_167066
PBANKA_0523800,PBANKA_0523800.1,"apical asparagine-rich protein AARP, putative",PF3D7_0423400,0,41,AARP,OG5_167067
PBANKA_0523900,PBANKA_0523900.1,"glideosome associated protein with multiple membrane spans 2, putative",PF3D7_0423500,0,43,GAPM2,OG5_141755
PBANKA_0524000,PBANKA_0524000.1,"conserved Plasmodium protein, unknown function",PF3D7_0423600,0,43,null,OG5_165015
PBANKA_0524800,PBANKA_0524800.1,early transcribed membrane protein,PF3D7_1102700,0,29,Sep-01,OG5_180086
PBANKA_0524841,PBANKA_0524841.1,"reticulocyte binding protein, putative, pseudogene","PF3D7_1252400,PF3D7_1335300,PF3D7_1335400",11,233,null,OG5_130526
PBANKA_0600351,PBANKA_0600351.1,"reticulocyte binding protein, putative","PF3D7_1252400,PF3D7_1335300,PF3D7_1335400",11,233,Pb235,OG5_130526
PBANKA_0600500,PBANKA_0600500.1,"GPN-loop GTPase, putative",PF3D7_1201500,0,44,null,OG5_127563
PBANKA_0600600,PBANKA_0600600.1,"NIMA related kinase 3, putative",PF3D7_1201600,0,43,NEK3,OG5_173806
PBANKA_0600700,PBANKA_0600700.1,"conserved Plasmodium protein, unknown function",PF3D7_1201700,0,43,null,OG5_173807
PBANKA_0600800,PBANKA_0600800.1,"cytochrome c oxidase assembly protein COX19, putative",PF3D7_1201800,0,45,COX19,OG5_129033
PBANKA_0600900,PBANKA_0600900.1,"conserved protein, unknown function",PF3D7_1201900,0,45,null,OG5_134563
PBANKA_0601000,PBANKA_0601000.1,"ATP-dependent DNA/RNA helicase PSH2, putative",PF3D7_1202000,0,45,PSH2,OG5_153588
PBANKA_0601100,PBANKA_0601100.1,"mitochondrial phosphate carrier protein, putative",PF3D7_1202200,0,45,null,OG5_127220
PBANKA_0601200,PBANKA_0601200.1,"dynein heavy chain, putative",PF3D7_1202300,0,50,null,OG5_138829
PBANKA_0601300,PBANKA_0601300.1,"peptidyl-prolyl cis-trans isomerase, putative",PF3D7_1202400,0,45,CYP26,OG5_147417
PBANKA_0601500,PBANKA_0601500.1,"trimethylguanosine synthase, putative",PF3D7_1202500,0,45,TGS1,OG5_163688
PBANKA_0601600,PBANKA_0601600.1,"conserved protein, unknown function",PF3D7_1202600,0,45,null,OG5_127300
PBANKA_0601700,PBANKA_0601700.1,"conserved Plasmodium protein, unknown function",PF3D7_1202700,0,44,null,OG5_163910
PBANKA_0601800,PBANKA_0601800.1,"DNA/RNA-binding protein, putative",PF3D7_1202800,0,43,null,OG5_173808
PBANKA_0601900,PBANKA_0601900.1,"high mobility group protein B1, putative","PF3D7_0817900,PF3D7_1202900",1,78,HMGB1,OG5_126740
PBANKA_0602000,PBANKA_0602000.1,"origin recognition complex subunit 1, putative",PF3D7_1203000,0,45,ORC1,OG5_126808
PBANKA_0602100,PBANKA_0602100.1,"conserved Plasmodium protein, unknown function",PF3D7_1203100,0,44,null,OG5_167070
PBANKA_0602200,PBANKA_0602200.1,"signal recognition particle subunit SRP14, putative",PF3D7_1203200,0,44,SRP14,OG5_129782
PBANKA_0602300,PBANKA_0602300.1,"TBCC domain-containing protein, putative",PF3D7_1203300,0,44,null,OG5_165459
PBANKA_0602400,PBANKA_0602400.1,"major facilitator superfamily domain-containing protein, putative",PF3D7_1203400,0,39,MFS4,OG5_172087
PBANKA_0602500,PBANKA_0602500.1,"threonylcarbamoyl-AMP synthase, putative",PF3D7_1203500,0,44,SUA5,OG5_126848
PBANKA_0602600,PBANKA_0602600.1,cytochrome c1 heme lyase,"PF3D7_1203600,PF3D7_1224600",1,87,CC1HL,OG5_127581
PBANKA_0602700,PBANKA_0602700.1,"nucleosome assembly protein, putative",PF3D7_1203700,0,44,NAPL,OG5_127308
PBANKA_0602800,PBANKA_0602800.1,"ubiquitin-conjugating enzyme E2, putative",PF3D7_1203900,0,43,UBC,OG5_126877
PBANKA_0602900,PBANKA_0602900.1,"conserved Plasmodium protein, unknown function",PF3D7_1204000,0,37,null,OG5_165427
PBANKA_0603000,PBANKA_0603000.1,"conserved Plasmodium protein, unknown function",PF3D7_1204100,0,44,null,OG5_167071
PBANKA_0603100,PBANKA_0603100.1,"conserved Plasmodium protein, unknown function",PF3D7_1204200,0,44,null,OG5_165249
PBANKA_0603200,PBANKA_0603200.1,"eukaryotic translation initiation factor 5A, putative",PF3D7_1204300,0,44,EIF5A,OG5_126922
PBANKA_0603300,PBANKA_0603300.1,sexual stage-specific protein G37,PF3D7_1204400,0,43,G37,OG5_153851
PBANKA_0603400,PBANKA_0603400.1,"conserved protein, unknown function",PF3D7_1204500,0,43,null,OG5_150558
PBANKA_0603500,PBANKA_0603500.1,"cytidine deaminase, putative",PF3D7_1204600,0,44,null,OG5_129418
PBANKA_0603600,PBANKA_0603600.1,"conserved protein, unknown function",PF3D7_1204700,0,44,null,OG5_156789
PBANKA_0603700,PBANKA_0603700.1,"conserved protein, unknown function",PF3D7_1205000,0,44,null,OG5_160763
PBANKA_0603800,PBANKA_0603800.1,"O-phosphoseryl-tRNA(Sec) selenium transferase, putative",PF3D7_1205100,0,44,SEPSECS,OG5_130020
PBANKA_0603900,PBANKA_0603900.1,HAD domain ookinete protein,PF3D7_1205200,0,43,HADO,OG5_141733
PBANKA_0604000,PBANKA_0604000.1,"conserved Plasmodium protein, unknown function",PF3D7_1205300,0,43,null,OG5_173809
PBANKA_0604100,PBANKA_0604100.1,"kelch domain-containing protein, putative",PF3D7_1205400,0,44,null,OG5_167072
PBANKA_0604200,PBANKA_0604200.1,"zinc finger protein, putative",PF3D7_1205500,0,44,null,OG5_138706
PBANKA_0604300,PBANKA_0604300.1,"tetratricopeptide repeat protein, putative",PF3D7_1205600,0,44,TRP1,OG5_140504
PBANKA_0604400,PBANKA_0604400.1,"targeted glyoxalase II, putative",PF3D7_1205700,0,44,tGLO2,OG5_162972
PBANKA_0604500,PBANKA_0604500.1,"high mobility group protein B3, putative",PF3D7_1205800,0,43,HMGB3,OG5_142461
PBANKA_0604600,PBANKA_0604600.1,"conserved protein, unknown function",PF3D7_1205900,0,43,null,OG5_128851
PBANKA_0604700,PBANKA_0604700.1,"shewanella-like protein phosphatase 2, putative",PF3D7_1206000,0,43,SHLP2,OG5_164672
PBANKA_0604800,PBANKA_0604800.1,"eukaryotic translation initiation factor 3 subunit C, putative",PF3D7_1206200,0,44,EIF3C,OG5_127970
PBANKA_0604900,PBANKA_0604900.1,"conserved Plasmodium protein, unknown function",PF3D7_1206300,0,44,null,OG5_165562
PBANKA_0605000,PBANKA_0605000.1,"rhodanese like protein, putative",PF3D7_1206400,0,44,null,OG5_127129
PBANKA_0605100,PBANKA_0605100.1,"Tat binding protein 1(TBP-1)-interacting protein, putative",PF3D7_1206500,0,43,null,OG5_128568
PBANKA_0605200,PBANKA_0605200.1,"DNA-directed RNA polymerase III subunit RPC2, putative","PF3D7_0215700,PF3D7_1206600",1,88,RPC2,OG5_126694
PBANKA_0605300,PBANKA_0605300.1,"eukaryotic translation initiation factor 5, putative",PF3D7_1206700,0,44,EIF5,OG5_127779
PBANKA_0605400,PBANKA_0605400.1,"conserved Plasmodium protein, unknown function",PF3D7_1206800,0,44,null,OG5_160948
PBANKA_0605500,PBANKA_0605500.1,"conserved Plasmodium protein, unknown function",PF3D7_1206900,0,44,null,OG5_167073
PBANKA_0605600,PBANKA_0605600.1,"conserved Plasmodium protein, unknown function",PF3D7_1207000,0,43,null,OG5_146638
PBANKA_0605700,PBANKA_0605700.1,"small subunit rRNA processing factor, putative",PF3D7_1207100,0,44,null,OG5_128148
PBANKA_0605800,PBANKA_0605800.1,LIMP protein,PF3D7_1207300,0,41,LIMP,OG5_173810
PBANKA_0605900,PBANKA_0605900.1,"conserved Plasmodium protein, unknown function",PF3D7_1207400,0,44,null,OG5_165085
PBANKA_0606000,PBANKA_0606000.1,"RNA-binding protein, putative",PF3D7_1207500,0,44,null,OG5_153574
PBANKA_0606100,PBANKA_0606100.1,"tRNA delta(2)-isopentenylpyrophosphate transferase, putative",PF3D7_1207600,0,44,MiaA,OG5_127078
PBANKA_0606200,PBANKA_0606200.1,"blood stage antigen 41-3 precursor, putative",PF3D7_1207700,0,46,null,OG5_145114
PBANKA_0606300,PBANKA_0606300.1,"conserved Plasmodium protein, unknown function",PF3D7_1207800,0,37,null,OG5_158462
PBANKA_0606400,PBANKA_0606400.1,"conserved Plasmodium protein, unknown function",PF3D7_1207900,0,42,null,OG5_173811
PBANKA_0606500,PBANKA_0606500.1,"50S ribosomal protein L29, putative",PF3D7_1208000,0,42,null,OG5_173812
PBANKA_0606600,PBANKA_0606600.1,"conserved Plasmodium protein, unknown function",PF3D7_1208100,0,45,null,OG5_156987
PBANKA_0606700,PBANKA_0606700.1,cysteine repeat modular protein 3,PF3D7_1208200,0,50,CRMP3,OG5_145113
PBANKA_0606800,PBANKA_0606800.1,"acyl carrier protein, mitochondrial, putative",PF3D7_1208300,0,43,null,OG5_153134
PBANKA_0606900,PBANKA_0606900.1,"amino acid transporter, putative",PF3D7_1208400,0,44,null,OG5_141727
PBANKA_0607000,PBANKA_0607000.1,"conserved Plasmodium protein, unknown function",PF3D7_1208500,0,47,null,OG5_167074
PBANKA_0607100,PBANKA_0607100.1,"mitochondrial import inner membrane translocase subunit TIM10, putative",PF3D7_1208600,0,46,TIM10,OG5_128839
PBANKA_0607200,PBANKA_0607200.1,"conserved protein, unknown function",PF3D7_1208700,0,44,null,OG5_154334
PBANKA_0607300,PBANKA_0607300.1,"zinc finger protein, putative",PF3D7_1208800,0,44,null,OG5_165474
PBANKA_0607400,PBANKA_0607400.1,"protein phosphatase PPM11, putative",PF3D7_1208900,0,45,PPM11,OG5_149451
PBANKA_0607500,PBANKA_0607500.1,"mago-binding protein, putative",PF3D7_1209000,0,44,null,OG5_129753
PBANKA_0607600,PBANKA_0607600.1,"U6 snRNA-associated Sm-like protein LSm7, putative",PF3D7_1209200,0,44,LSM7,OG5_128343
PBANKA_0607700,PBANKA_0607700.1,"telomere repeat-binding zinc finger protein, putative",PF3D7_1209300,0,41,TRZ,OG5_126539
PBANKA_0607800,PBANKA_0607800.1,"cytosolic iron-sulfur protein assembly protein 1, putative",PF3D7_1209400,0,45,CIA1,OG5_127906
PBANKA_0607900,PBANKA_0607900.1,"cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative",PF3D7_1209500,0,48,PDEalpha,OG5_152655
PBANKA_0608000,PBANKA_0608000.1,porphobilinogen deaminase,PF3D7_1209600,0,44,PBGD,OG5_127395
PBANKA_0608100,PBANKA_0608100.1,"conserved protein, unknown function",PF3D7_1209700,0,41,null,OG5_156777
PBANKA_0608200,PBANKA_0608200.1,"ATP synthase mitochondrial F1 complex assembly factor 1, putative",PF3D7_1209800,0,35,ATP11,OG5_128892
PBANKA_0608300,PBANKA_0608300.1,"ABC transporter B family member 7, putative",PF3D7_1209900,0,52,ABCB7,OG5_126897
PBANKA_0608400,PBANKA_0608400.1,"50S ribosomal protein L1, apicoplast, putative","PF3D7_0710900,PF3D7_1210000",1,88,RPL1,OG5_127255
PBANKA_0608500,PBANKA_0608500.1,"SNARE protein, putative",PF3D7_1210100,0,44,null,OG5_141151
PBANKA_0608600,PBANKA_0608600.1,"zinc finger protein, putative",PF3D7_1210200,0,44,null,OG5_164481
PBANKA_0608700,PBANKA_0608700.1,"conserved Plasmodium protein, unknown function",PF3D7_1210300,0,44,null,OG5_167075
PBANKA_0608900,PBANKA_0608900.1,"general transcription factor 3C polypeptide 5, putative",PF3D7_1210400,0,45,null,OG5_155860
PBANKA_0609000,PBANKA_0609000.1,"conserved Plasmodium protein, unknown function",PF3D7_1210500,0,44,null,OG5_167076
PBANKA_0609100,PBANKA_0609100.1,"conserved Plasmodium protein, unknown function",PF3D7_1210600,0,45,null,OG5_167077
PBANKA_0609200,PBANKA_0609200.1,"conserved Plasmodium protein, unknown function",PF3D7_1210700,0,44,null,OG5_167078
PBANKA_0609300,PBANKA_0609300.1,"GPI mannosyltransferase 1, putative",PF3D7_1210900,0,45,PIGM,OG5_128297
PBANKA_0609500,PBANKA_0609500.1,"kinesin-7, putative",PF3D7_1211000,0,40,null,OG5_159753
PBANKA_0609600,PBANKA_0609600.1,"HSP20-like chaperone, putative",PF3D7_1211100,0,44,null,OG5_160547
PBANKA_0609700,PBANKA_0609700.1,"conserved Plasmodium protein, unknown function",PF3D7_1211200,0,45,null,OG5_160809
PBANKA_0609800,PBANKA_0609800.1,"DNA helicase MCM8, putative",PF3D7_1211300,0,44,MCM8,OG5_129017
PBANKA_0609900,PBANKA_0609900.1,"heat shock protein DNAJ homologue Pfj4, putative",PF3D7_1211400,0,44,null,OG5_130026
PBANKA_0610000,PBANKA_0610000.1,"mitochondrial ribosomal protein S18 precursor, putative",PF3D7_1211500,0,44,null,OG5_147368
PBANKA_0610100,PBANKA_0610100.1,"lysine-specific histone demethylase 1, putative",PF3D7_1211600,0,44,LSD1,OG5_146824
PBANKA_0610200,PBANKA_0610200.1,"DNA replication licensing factor MCM5, putative",PF3D7_1211700,0,46,MCM5,OG5_127979
PBANKA_0610300,PBANKA_0610300.1,"polyubiquitin, putative",PF3D7_1211800,0,44,null,OG5_126703
PBANKA_0610400,PBANKA_0610400.1,"non-SERCA-type Ca2+ -transporting P-ATPase, putative","PF3D7_0106300,PF3D7_1211900",1,89,ATP4,OG5_126674
PBANKA_0610500,PBANKA_0610500.1,glutathione peroxidase-like thioredoxin peroxidase,PF3D7_1212000,0,44,TPx(Gl),OG5_126711
PBANKA_0610600,PBANKA_0610600.1,"peripheral plastid protein 1, putative",PF3D7_1212100,0,45,PPP1,OG5_160600
PBANKA_0610800,PBANKA_0610800.1,"eukaryotic translation initiation factor eIF2A, putative",PF3D7_1438000,0,49,null,OG5_128129
PBANKA_0610900,PBANKA_0610900.1,"HSP40, subfamily A, putative",PF3D7_1437900,0,44,HSP40,OG5_126883
PBANKA_0611000,PBANKA_0611000.1,"trafficking protein particle complex subunit 5, putative",PF3D7_1437800,0,44,null,OG5_128074
PBANKA_0611100,PBANKA_0611100.1,"succinyl-CoA ligase, putative",PF3D7_1437700,0,44,null,OG5_131604
PBANKA_0611200,PBANKA_0611200.1,"conserved protein, unknown function",PF3D7_1437600,0,44,null,OG5_157817
PBANKA_0611300,PBANKA_0611300.1,"conserved Plasmodium protein, unknown function",PF3D7_1437500,0,44,null,OG5_167079
PBANKA_0611400,PBANKA_0611400.1,"pantothenate kinase 2, putative",PF3D7_1437400,0,44,PANK2,OG5_165432
PBANKA_0611500,PBANKA_0611500.1,"conserved Plasmodium protein, unknown function",PF3D7_1437300,0,43,null,OG5_167080
PBANKA_0611600,PBANKA_0611600.1,"ribonucleoside-diphosphate reductase large subunit, putative",PF3D7_1437200,0,44,null,OG5_126839
PBANKA_0611700,PBANKA_0611700.1,"conserved protein, unknown function",PF3D7_1437100,0,44,null,OG5_164980
PBANKA_0611800,PBANKA_0611800.1,"N-acetyltransferase, GNAT family, putative",PF3D7_1437000,0,43,null,OG5_144531
PBANKA_0611900,PBANKA_0611900.1,"histidine triad protein, putative",PF3D7_1436900,0,44,null,OG5_127985
